# ==============================================================================
# EXPLICAÇÃO DAS COLUNAS (FEATURES) - CAIXA DA LANCHONETE ESCOLAR
# 1. preco_item      : Preço de venda praticado para o item no dia (Real/Float)
# 2. custo_item      : Custo de aquisição/ingredientes do item (Real/Float)
# 3. temperatura     : Temperatura média diária em ºC (Real/Float)
# 4. estoque_inicial : Quantidade preparada/comprada para venda no dia (Real/Float)
# 
# VARIÁVEL ALVO (CLASSE):
# - classe           : 1 se o item esgotou (demanda >= estoque), 0 se sobrou item (Float)
# ==============================================================================
preco_item,custo_item,temperatura,estoque_inicial,classe
6.2,2.51,20.5,48.0,1
5.95,2.42,16.9,49.0,0
3.99,2.11,25.9,48.0,1
7.35,4.06,18.2,74.0,0
7.79,3.64,16.9,32.0,0
4.32,1.77,24.2,35.0,1
5.76,3.26,27.4,66.0,1
3.23,1.44,20.8,30.0,1
7.17,3.1,22.1,54.0,0
3.36,1.77,25.7,51.0,1
7.95,4.2,26.1,61.0,0
4.05,2.38,32.5,60.0,1
7.42,3.92,17.9,37.0,0
4.31,2.23,33.0,71.0,1
6.78,3.88,18.1,40.0,1
3.32,1.58,34.9,87.0,1
7.71,4.13,17.3,88.0,0
4.7,2.16,18.2,20.0,1
3.89,2.27,32.4,58.0,1
3.99,1.89,18.2,87.0,0
5.44,2.3,22.3,59.0,0
5.84,2.43,29.6,28.0,1
7.73,3.35,25.6,97.0,0
5.7,3.11,19.0,59.0,0
4.87,2.82,24.0,51.0,1
5.94,2.65,19.4,29.0,1
3.34,1.36,21.6,85.0,0
4.07,1.74,33.7,93.0,1
5.36,2.58,16.9,75.0,0
7.32,3.01,28.1,32.0,1
3.96,2.01,17.8,43.0,1
7.62,3.72,32.2,90.0,0
5.7,2.3,16.9,50.0,0
4.07,1.95,16.2,68.0,0
7.63,4.25,20.7,91.0,0
3.95,1.75,16.2,89.0,0
3.25,1.61,33.4,87.0,1
5.98,3.2,19.7,35.0,1
5.89,2.4,16.6,94.0,0
4.3,2.3,21.3,53.0,1
4.5,2.08,30.0,29.0,1
5.69,2.85,17.6,64.0,0
7.17,3.88,27.2,87.0,0
7.69,3.28,17.3,33.0,0
4.41,1.95,21.9,53.0,1
7.54,3.09,27.7,55.0,0
3.65,2.18,18.2,76.0,0
3.05,1.27,32.7,39.0,1
5.91,2.54,17.5,59.0,0
6.33,2.98,26.2,72.0,0
3.81,2.13,18.5,72.0,0
6.94,2.93,32.4,80.0,0
5.3,2.44,30.9,49.0,1
4.99,2.27,16.4,55.0,0
6.4,3.64,21.6,23.0,1
5.17,2.82,21.3,97.0,0
3.22,1.57,25.4,88.0,0
5.16,3.04,33.4,99.0,0
6.6,3.04,21.2,72.0,0
5.77,2.53,28.3,68.0,1
5.74,2.3,20.7,75.0,0
4.61,2.25,28.5,85.0,0
6.98,3.03,16.7,85.0,0
3.47,2.05,19.7,59.0,1
3.12,1.4,24.5,29.0,1
5.88,3.2,22.7,71.0,0
3.03,1.67,30.4,33.0,1
7.02,3.79,24.3,91.0,0
6.34,3.79,26.9,76.0,0
5.52,3.12,26.0,40.0,1
4.3,1.93,27.8,86.0,0
5.2,2.82,19.7,62.0,0
3.69,1.65,28.9,47.0,1
5.71,2.76,19.1,73.0,0
7.73,3.12,32.6,93.0,0
7.27,4.29,23.4,89.0,0
5.43,2.59,28.4,71.0,1
7.6,4.53,25.7,70.0,0
3.42,1.66,32.3,43.0,1
4.06,1.89,30.2,68.0,1
5.35,2.94,16.0,64.0,0
7.79,3.18,15.6,51.0,0
6.35,3.26,19.4,52.0,0
6.04,3.32,17.3,40.0,0
6.39,3.78,22.9,45.0,1
6.86,3.91,27.0,35.0,1
3.21,1.63,28.2,28.0,1
7.25,4.09,17.1,66.0,0
6.54,3.19,29.7,54.0,1
6.87,3.39,31.5,95.0,0
7.15,2.98,32.6,51.0,1
6.34,2.96,24.9,61.0,0
6.99,3.27,32.6,55.0,1
3.96,1.78,23.1,91.0,0
6.23,3.1,30.9,31.0,1
4.22,2.25,22.4,90.0,0
6.73,3.14,29.1,54.0,1
6.61,3.06,29.9,43.0,1
4.38,2.27,30.2,96.0,0
3.97,1.77,18.6,21.0,1
3.23,1.33,20.8,36.0,1
3.51,1.41,20.7,81.0,0
3.26,1.92,24.6,28.0,1
6.15,2.53,18.0,92.0,0
